Title,Company,Industry,Role,Salary,City,Description,Experience,RecruiterName,RecruiterNumber,Website
Operations Manager,"American Oncology Institute, Nagpur (CTSH Pvt. Ltd.)","Medical, Healthcare, Hospitals",Administration Services/Medical Facilities,Best In Industry,nagpur,"1] To Manage Non Medical Operations of Hospital 2] To Manage Outsourced Services of Hospital  3] To Manage & Co-ordinate with Outsourced Agencies of Hospital  4] To Supervise Functioning of Outsourced Staff.  5] To Manage Premise Upkeep of Hospital  6] To Maintain Records and Registers Required as per Standards.  7] To Manage Facilities viz. Hostel, Guest House, Bookings, etc.  8] To Manage Vendor and Transaction",4 - 8 yrs,AnjaneyaReddy,NA,NA
Manager Learning & Development,Bharathire.com Private Limited,Insurance,Trainer,Not Disclosed by Recruiter,nagpur,"JOB SUMMARY     Responsible for conducting training for agent advisors, update of training modules & agent development.     KEY RESPONSIBILITIES    Conduct training modules for Agent Advisors 	Conducting  FCS, BCS ,ICS and ACS  	Conducting GIDs and IIDs 	Conducting PRP and FOD as and when required Look after training logistics 	Schedule training sessions 	Ensure wider participation of agents in programs Monitor progress of agents on a continuous basis 	Seek regular feedback from agents , Sales Managers, Office Head 	Ensure that agents follow moral and ethical standards  when dealing with clients 	Monitor Agent development Update training material 	Review present training material 	Scan environment  	Incorporate feedback from Agents, Customers, SMs, Ps, MPs  Ensure that the agents get updated and continuous information on products Facilitate self-development of agents       Measures of Success    a.	Participant feedback b.	Number of days of training c.	Customer survey rating d.	Pass percentage of agents e.	Pass percentage of Agents in IRDA exams f.	Compliance on IRDA requirements g.	Reduction in training cost h.	Awareness level of agents on competition",3 - 8 yrs,NotProvided,NA,NA
Chemistry Teacher,RD PUBLIC SCHOOL ( RAMKRISHNA SIKSHA SAMITI ),"Education, Teaching, Training",Chemistry Teacher,BEST IN Industry,nagpur,"The duties of a chemistry teacher  include creating lesson plans, preparing and delivering lectures, creating and supervising laboratory activities for students, evaluating student performance, maintaining classroom records, meeting with parents, teachers and other professionals and participating in campus events.",1 - 5 yrs,HarishNirmal,7415752661,http://www.rdpsbetul.org
Maths Teacher,RD PUBLIC SCHOOL ( RAMKRISHNA SIKSHA SAMITI ),"Education, Teaching, Training",Mathematics Teacher,BEST IN Industry,nagpur,"Math teachers actively instruct students, create lesson plans, assign and correct homework, manage students in the classroom, communicate with parents, and help students prepare for standardized testing. ... Bestowing students with arithmetic and problem-solving skills is one of the many duties of a math teacher",1 - 5 yrs,HarishNirmal,7415752661,http://www.rdpsbetul.org
Social Science Teacher,RD PUBLIC SCHOOL ( RAMKRISHNA SIKSHA SAMITI ),"Education, Teaching, Training",Teacher/ Private Tutor,BEST IN Industry,nagpur,"Social studies teachers teach concepts of government, geography, history, economics, civic ideals, and current events. They plan lessons, assign and grade homework, and create and lead classroom activities.",1 - 5 yrs,HarishNirmal,7415752661,http://www.rdpsbetul.org
"JavaScript Developer,",Novatech Software Pvt. Ltd.,"IT-Software, Software Services",Software Developer,"INR 3,50,000 - 6,00,000 PA. Salary no bar for deserving Candidate",nagpur,"Novatech Software Pvt. Ltd., a 100% EOU, catering to our world class customers, is looking for skilled candidates for the position of Software Developers having hands-on experience in JavaScript  We develop products for international market using advanced techniques; Object Orientation, Design Patterns & Methodologies.  Only if, you enjoy technically challenging assignments and have developed  complex programs , this is the right opportunity for you.     Must Have (primary skills)     Expertise in JavaScript      Expertise in HTML and CSS    Sound experience in building dynamic web pages using JavaScript (traversing & manipulating DOM)   Ajax Programming / Knowledge of REST Architecture (GET, POST, PUT, DELETE)  Knowledge of JSON       Added Advantage:    Expertise in Sencha EXT JS & Sencha Architect  Knowledge of JQuery, JavaScript library  MVC Architecture  Knowledge of Web Server such as Internet Information Services (IIS)  Knowledge of Angular JS",1 - 3 yrs,Ms.RomyBarik,91-712-2220534,http://www.novatechsoftware.com
Ca Intern,HealthCare Global Enterprises Ltd,"Medical, Healthcare, Hospitals",Other,Not Disclosed by Recruiter,nagpur,"Accounts Payable: o	Invoice  Entry in the Accounting Software o	Credit Memo & Debit Memo Entry o	Follow up for receiving the Invoice, Credit Memo & Debit Memo with Purchase o	Verification of the Invoices from Vendor o	Bank Clearing Entries o	Refund Accounting & Cheque printing o	Organizing the Voucher with supporting documents o	Preparing Reports as and when required o	Assisting to the Reporting manager for Audit etc. 	Accounts Receivable: o	Sales Invoice Accounting o	Receipt Entry in Back end Accounting software o	Clearing Entries for knocking off Receivables o	Bank Deposit Entries o	Preparing reports as and when required o	Assisting to the Reporting manager for Audit etc. 	Petty Cash: o	Maintaining Petty Cash Vouchers o	Updating Petty Cash book on a daily basis o	Handling Petty Cash safely o	Verification of bills & Vouchers  o	Co-operating Physical Verification of Cash  	Accuracy in the Accounting of Transactions 	Timeliness and speed in Accounting 	Safekeeping & Maintenance of Vouchers, Cheques, Cash  and documents 	Co-ordination with the other departments 	Supporting the reporting manager while discharging the duties assigned 	Finishing the Tasks in the given timeline 	Fixed assets registers Updation  	SAP implementation 	Maker checker control over accounting transactions",2 - 5 yrs,IshtiyaqueAnsari,NA,NA
Operations Manager,HealthCare Global Enterprises Ltd,"Medical, Healthcare, Hospitals",Administration Services/Medical Facilities,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities To Manage PCC/Front Office/ Admin effectively and ensure adequate training is given.  	Man power planning, budgeting, roster, scheduling/allocating man power 	Effective resource utilization 	Implement and maintain NABH and JCI quality standards and SoPs and ensure departmental indicators are updated 	Coordinating with each and every department for smooth functioning of hospital  	Plan, Direct, Supervise and Coordinate hospital functional operations and activities.  	Compile Statistical and Patients Satisfaction Reports, analyze and summarize these reports and state possible corrective action wherever indicated in endeavours to improve and customize hospital services.  	Liaise with support functions for smooth work flow 	To co-ordinate with the management in organizing and conducting patient welfare program, Cancer rose-day, Cancer Survivors Day etc.  	To inspect wards, ensuring hygiene and patient comfort.  	To conduct departmental meeting once a week for better team spirit & enhancement of patient comfort.  	Reporting & handling incidents & complaints regularly 	To send details of concession and financial assistance given to patients from HCG foundation to accounts department 	Grievance handling, documenting complaints, action taken and follow up 	Oversee day to day operation of IP and ward and ensuring quality care is provided. 	Monitor patient flow and streamlining the process flow of various units. 	Ensure facility upkeep, department functioning to meet the service standards. 	Planning efficient utilization of resources based costing. 	Set KRA for PCC/ Front Office/ Admin and review their performance appraisal. 	Ensuring a high quality customer experience, elevating customer satisfaction, while adhering to the organizational goal and work processes and manage effective operations.",4 - 8 yrs,IshtiyaqueAnsari,NA,NA
Engineer / Sr. Engineer - Quality - Pan India,MONTECARLO LIMITED,"Construction, Engineering, Cement, Metals",Civil Engineer-Highway/Roadway,Attractive remuneration will be given to the right candidates,nagpur,"Department	:	Quality Job Role        :             Team Member Education	:	Diploma / BE / B.Tech Civil Experience	:	05 to 08 Years in Highway Project CTC		:	Attractive remuneration will be given to the right candidates Location	: Pan India  Job Description    	Ensure adequate documentation of all quality related documents/ files 	 	Check quality of ongoing as well as finished construction work and highlight observation 	Assist site in-charge - quality in assessing the quality requirements for the project before commencement of construction activity	 	Check results of the quality test against the site quality plan requirement and highlight any deviations	 	Participate in quality meets with subcontractors on regular intervals and ensure necessary documentation		 	Assist site in-charge - quality in conducting relevant quality training programs for the execution team, sub-contractors and labours 						 	Ensure timely response and closure of RFI			 	Conduct quality audit as per plan and highlight observations 	Prepare monthly quality MIS report",5 - 8 yrs,Mr.PradipPatel,26409333,NA
Dy. Manager / Manager - Highways - Pan India,MONTECARLO LIMITED,"Construction, Engineering, Cement, Metals",Civil Engineer-Highway/Roadway,Attractive remuneration will be given to the right candidates,nagpur,"Department	:	Project Role                     :             Works Manager Education	:	BE / B.Tech Civil Experience	:	10 to 15 Years in Highway Project CTC		:	Attractive remuneration will be given to the right candidates Location	: Pan India Job Description    	Help site team to prepare MIS reports and continuously monitor project performance in terms of quality, time, client satisfaction, safety adherence, budget etc.			 	Ensure smooth implementation of process innovations as per leading practices, automation, efficient resource utilization, cost optimization etc. 	Coordinate with site team in identification, assessment and mitigation of risks associated with project 	Assist Project Manager in all direct & indirect claim events 	Work with design team in preparation/ change of drawings			 	Prepare daily operations planning in consultation with Project Manager	 	Provide inputs to Project Manager for effective evaluation of performance of subcontractors  	Assist Project Manager in site related clearances, disputes, reconciliation, billing, claims, snag inspection, settlement etc.	 	Participate in quality, safety & security planning along with site team	 	Assist Project Manager in project closure activities including timely handover, bill preparation and project debrief	 	Arrange resources for section incharges				 	Ensure effective utilization of resources			 	Follow SoPs, defined guidelines and applied regulations during execution",10 - 15 yrs,Mr.PradipPatel,26409333,NA
Sr. Engineer / Asst. Manager - Structure - Pan India,MONTECARLO LIMITED,"Construction, Engineering, Cement, Metals",Civil Engineer-Highway/Roadway,Attractive remuneration will be given to the right candidates,nagpur,"Department	:	Project Role                     :             TM - Execution Education	:	BE / B.Tech Civil Experience	:	10 to 15 Years in Highway Project CTC		:	Attractive remuneration will be given to the right candidates Location	: Pan India Job Description    	Ensure smooth execution of segments/ chainages as per agreed timeline, budget, quality norms, safety guidelines etc. 	Assist Works Manager in implementation of process innovations as per leading practices, automation, efficient resource utilization, cost optimization etc. 	Coordinate with site team in identification, assessment and mitigation of risks associated with a segment. 	Assist project manager in direct & indirect claim events 	Work with design team in preparation/ change of drawings			 	Ensure execution of daily operations planning approved by project manager 	Provide inputs to project manager for effective evaluation of performance of subcontractors 	Arrange resources for Engineer / Officer",10 - 15 yrs,Mr.PradipPatel,26409333,NA
Deputy Manager / Senior Executive Quality Control,Innova Pharmactive Pvt Ltd,"Pharma, Biotech, Clinical Research",Quality Assurance/Quality Control Manager,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities - Candidate should have adept knowledge of handling sophisticated Analytical Instruments.  - Candidate should be able to work, adopt and guide subordinates in following Good Laboratory Practices.  - Candidate should be well versed with various regulatory & Statutory requirements.Required Candidate profile- Candidate should have minimum four years experience. - Candidate should be able to work with the team and be willing to take initiative & challenge for completing the task assigned.",4 - 9 yrs,JagdishSavadiya,07122641444,https://www.innovapharmactive.com
Deputy Manager / Senior Executive Engineering,Innova Pharmactive Pvt Ltd,"Pharma, Biotech, Clinical Research",Engineering Manager,Not Disclosed by Recruiter,nagpur,"- Candidate should have adequate knowledge of Utilities like Boilers, HVAC Chillers, Cooling tower, Air compressor.  - The candidate will be required to ensure the operation and maintenance of machinery to avoid breakdowns.",4 - 9 yrs,JagdishSavadia,07122641444,https://www.innovapharmactive.com
Tata Consultancy Services Nagpur is Hiring - Drive 6th July,Tata Consultancy Services Ltd.,"IT-Software, Software Services",System Analyst,Not Disclosed by Recruiter,nagpur,"Dear Candidates, We are hiring candidates in Nagpur with below skills-     1. C++  2. Embedded  3. Matlab     Interview Date: 6th July 2019  Interview Location : Nagpur",3 - 8 yrs,AkshayNaik,NA,NA
Relationship Manager,EASY HOME FINANCE LIMITED,"Banking, Financial Services, Broking",Relationship Executive,"INR 1,00,000 - 2,50,000 PA. (As per the Company Standards)",nagpur,"Sourcing Loan application as per Company Policy.
Maintaining good relationship with Builders.
Ensure complete transparency in documentation in financial aspects as per company policies
Adhere to the company policies for sanction & disbursement",1 - 3 yrs,Karishma,NA,https://www.easyhomefinance.in
Hiring For Sr. Customer Care Executive (international Voice)_sharel,Spes Manning Solutions LLP,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),"INR 2,00,000 - 4,00,000 PA.",nagpur,"Hiring For International Bpo - Work Location - Pune 
Interview Location- Nasik & Nagpur (People Can Relocate In Pune City )
International Voice Process\Good English Communication  Rotational shifts\Early Morng,Rotational off
 Call Sharel- 9225684444",0 - 5 yrs,Sharel,9225684444,NA
Hiring Telecallers/ Voice Process at IT park Nagpur,ALIVE TECH SERVICES,"IT-Software, Software Services",Telecalling/Telemarketing Executive,"INR 50,000 - 1,25,000 PA.",nagpur,"* Nature of Job- Telecalling. 
* Calling clients and fixing appointments. 
* Solve their Queries and problems over the phone. 
* Excellent communication and interpersonal skills. 
* Both freshers and experience can apply",0 - 2 yrs,Noopur,NA,NA
Purchase Manager,Radisson Blu,"Travel , Hotels , Restaurants , Airlines , Railways",Purchase/Vendor Development Manager,Not Disclosed by Recruiter,nagpur,"To ensure close liaison and co- ordination with F & B Department, Housekeeping, Engineering etc. for meeting their needs. 
To study thoroughly the items needed to purchase and to have sufficient knowledge about them and their use.",10 - 12 yrs,Tejosh,NA,NA
Hiring Interns for Autocad at IT Park,ALIVE TECH SERVICES,"IT-Software, Software Services",Technical Architect,Not Disclosed by Recruiter,nagpur,"*	Looking Forward To Train Yourself For Industry?
*	Corporate CAD Training on- 
Mechanical CAD
Civil CAD
Electrical CAD
*	Learn From Industrial Experts 
*	Get 6 Months EXPERIENCE CERTIFICATE!!!!
*	100% Job Oriented Training With Placement Assistance",0 - 0 yrs,Noopur,NA,NA
Digital Marketing Executive,Cian Agro Industries & Infrastructure Ltd.,"FMCG, Foods, Beverage",Social Media Marketing Manager,Not Disclosed by Recruiter,nagpur,"1) Digital Marketing
2) Handled online portals like Amazon, Flip kart, Facebook, Twitter& Instagram.
3)Organizing events.
4) Company in house magazines handling.
5) Working on Brochures
6) Content writing",1 - 2 yrs,Sona,NA,NA
Mega Hiring For Management Profile..,Opulence Org,"Advertising, PR, MR, Event Management",Fresher,"INR 2,25,000 - 4,50,000 PA.",nagpur,"Business associate -> Leadership-> Crew Leader-> Assistant Owner->Business Owner Partner-> Business Head

Potential Earning: 20 k to 45 k

Immediate Joining
Any UG/PG
Freshers
@Nagpur.

Interview - 4rth july 19
Time - 3 Pm.

Hr Suchita -8806429071",0 - 1 yrs,HR-SuchitaRahangdale,8806429071,NA
iOS Developer - Swift/objective C,Skillab.in,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Description :     - Programming iOS native mobile applications from specifications.  - Scope, analyse, design, test, debug and implement complex iOS mobile applications.  - Cutting-edge native mobile application prototyping and development on iPhone/iPad.  - Swift, Objective C knowledge, XML, JSON parsing knowledge  - In-App Purchase and Apple Pay knowledge",1 - 3 yrs,HR,NA,NA
Executive - Front Office,NAVABHARAT GROUP,"Media, Entertainment, Internet",Receptionist,Best In Industry,nagpur,"Experience in handling EPABX, answering telephone calls and if needed directing callers to the appropriate personnel. 	Attending VIP Guest and welcoming visitors to the office and introducing them to the appropriate personnel. 	Overseeing the general appearance of the office. 	Handling company inquiries. 	Schedule meetings and travel. (need based) 	Excellent communication skill. 	Maintain inward and outward mail. 	Maintain database.                  Only FEMALE candidates may apply.",2 - 4 yrs,Ms.GangaSwamyMudliar,91-712-2284220,http://www.navabharatinfra.com
Site Engineer (nagpur),Kanakia Spaces Realty Pvt. Ltd Pvt Ltd,"Real Estate, Property",Construction-Residential,Not Disclosed by Recruiter,nagpur,"Checking technical designs and drawings to ensure that they are followed correctly 	Managing  manpower, machineries and equipments require at site  	Liaising with clients, subcontractors and other professional staff, especially quantity surveyors and the overall project manager 	Attending the daily meeting at site about the work progress and other activities with project manager. 	Preparing site reports and preparation of bills for payments and estimating quantities & order of materials for construction. 	ensuring projects meet agreed specifications, budgets or timescales 	Providing technical advice and solving problems on site 	Ensuring that health and safety and sustainability policies and legislation are adhered to",2 - 7 yrs,NA,NA,NA
Project Manager (nagpur),Kanakia Spaces Realty Pvt. Ltd Pvt Ltd,"Real Estate, Property",Construction-Residential,Not Disclosed by Recruiter,nagpur,"Overall Execution and construction management of the specific project assigned. 	Ensure timely completion of project with quality and within the budgeted cost. 	Monitoring of on-going construction activities on day to day basis and taking corrective action wherever needed 	Coordination with seniors and various departments like designing, planning, purchase, contracts, Liaisoning & sales for project related work & Carry out project monitoring meeting ( weekly, monthly meetings) 	Reviews project plan to determine time frame, procedures for accomplishing project, staffing requirements, and allotment of available resources to various phases of project 	Vendor bill certification and finalization. 	Dealing with consultant, contractors & government officials. 	Handing over the projects to facility management.",12 - 22 yrs,NA,NA,NA
Accounts Executive,Pinnacle info services private limited,"Automobile, Auto Anciliary, Auto Components",Accounts Executive/Accountant,"INR 1,75,000 - 2,00,000 PA.",nagpur,"Purchase Bill/ Cash voucher, Debit Note/ Credit Note voucher entry in ERP

2. TDS/TCS working

3. Monthly GST Working

4. Supplier payment advice creation",1 - 3 yrs,kulkarni,NA,http://www.jobporto.com
Sales Manager Health Agency,A & A Associates,Insurance,Sales/Business Development Manager,"INR 1,00,000 - 3,50,000 PA. Reiumburshment+incentive +bonus",nagpur,"Urgent required for a Leading Health Insurance Company. JD :Recruitment of Insurance agents, retain these agent's and give service to them. Achieve your targets. Location Chennai /Hyderabad /Pune/Nagpur",1 - 6 yrs,AbhayShankar,NA,NA
Immediate Opening with Java Develope_nagpur_c2h,Vzen Technologies  hiring for Java developer full stack,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Immediate opening with Java Develope_Nagpur_C2H  Exp :5 to 10Yrs Job location : Nagpur NP:15Days C2H Position Direct Contact : 7997966551  Primary Responsibilities Include 	Designing and developing Spring Boot Java APIs to expose data from/ingest into a Big Data environment 	Designing and developing Apache Spark applications in Java to ingest/process data 	Should be able to translate the low level design (LLD) in actual implementation 	Preparing technical design doc, review the artefacts and code done by development team  	Source code version control 	Production deployment, configuration and Support 	Performance optimization of Java applications 	Effective QA of the Java applications (functional & unit testing)  Preferred Background and Experience 	Overall 5+ years of experience in Java programming 	Strong hands on knowledge in Java development, version control practices & build systems (Maven, Gradle etc) 	Hands-on experience with databases SQL, preferably NoSQL  	Ability to quickly understand business requirements and translate into design 	Relevant Java Certifications 	Knowledge of Spark and HBase will be helpful 	Other programming languages like Python etc. is also good to have 	Basic knowledge of Shell scripting will be helpful",5 - 10 yrs,HariPrakash,NA,NA
Immediate Opening with Big data Developer_nagpur_c2h,Vzen Technologies  hiring for Big Data developer_nagpur,"IT-Software, Software Services",Software Developer,Not Disclosed by Recruiter,nagpur,"Immediate Opening with Big data developer_Nagpur_C2H  Exp: 3 to 7Yrs Job Location : Nagpur NP: 15Days Contact :7997966551  Contract to Hire Min 1Year  Core responsibilities In your role as a Senior Big Data Engineer, you will be responsible for:  Design and build scalable and resilient technical solutions using BigData technologies in the Hortonworks or Cloudera Hadoop Distribution platform  Selecting and integrating any Big Data tools required to provide requested capabilities  Analysis and build within Control, Stability, Resiliency, Capacity & Performance areas  Testing: Unit, SIT & UAT planning and management  Partner with supporting tech leads to develop realistic and achievable project estimates  Robust delivery of code into the production environment with zero tolerance for post implementation issues  Proactively look to develop, implement and further development best practices across the group as a core member of Big Data Center of Excellence with InfoCepts  Contribute to quality improvement, code reviews, code/ architecture standards, code reuse etc",3 - 7 yrs,Manasa,30601155,NA
